source_kind,source_name,target,variant,layout,image_position,notes
slice,slices.brands,media.brand-logo-grid,,,,Logo media uploaded from old CDN; deduped by filename. SKIP if items[] empty after upload.
slice,slices.brands-with-intro,composite,,,,utilities.section-header (from intro) wrapped in sections.section-header + media.brand-logo-grid (logos uploaded). Header alone if logos empty.
slice,slices.capabilities-dynamic-cards,sections.tabbed-feature-overview,,,,"Each capability → elements.tabbed-feature (tabLabel from capability.label/title, optional tabIcon uploaded from CDN, content = sections.feature-overview). feature-overview.image is REQUIRED — upload via the brand-logo routine; SKIP that tab if no image survives upload. SKIP whole slice if no tabs survive."
slice,slices.case-study-card,cards.case-study-card,,,,Look up target by `card.data.attributes.slug` on target server; build ctaLink to `/user-stories/<slug>`.
slice,slices.chili-piper,sections.section-header,,,,Heading-only block. Title/label/text from slice.
slice,slices.company-stat-list,sections.three-column-grid,,,,"Each stat → elements.how-it-works-item (title=stat.value/number, description=stat.label/text). section field is REQUIRED — fall back to {title: 'Company Stats'} if slice intro is empty. itemStyle=default. May also appear as a root field on careers content type — verify before mapping."
slice,slices.content-videos-list,sections.section-header,,,,Heading-only block. Video items themselves are not migrated.
slice,slices.dark-cta-banner,sections.cta-banner,dark,,,"section: utilities.section-header from intro fields; background=dark (default for the slice variant)."
slice,slices.disclaimer,sections.disclaimer,,,,"Purpose-built component (title + content). SKIP if frontend renders disclaimers hardcoded for the route."
slice,slices.embed-form,SKIP,,,,No mapping unless caller provides a `hubspot-form` relation map.
slice,slices.features-card,sections.feature-card-grid,bordered,third,right,"Grid of split feature-cards on light background. Items = cards.feature-card variant=bordered layout=third imagePosition=right. SKIP if cards[] empty."
slice,slices.features-slice,sections.feature-card-grid,plain,half|third,,"layout = s.layout==='two' ? 'half' : 'third'; items = cards.feature-card variant=plain. SKIP if items have no title."
slice,slices.full-width-quote,testimonials.quote,fullwidth,,,Quote with full-width visual treatment.
slice,slices.getting-started-grid,sections.feature-card-grid,bordered,third,,"Items = cards.feature-card variant=bordered layout=third. Intro becomes the grid's built-in section header."
slice,slices.image-slider,media.image-gallery,contained,,,"Images uploaded from old CDN (dedupe by filename). SKIP if images[] empty after upload."
slice,slices.integration-cards-grid,sections.feature-card-grid,plain,,,"Items from integrations.data[] (cap 12). Each item: title, description, ctaLink to /integrations/<slug>."
slice,slices.interview,composite,dark+boxed,,,"sections.section-header (background=dark, boxed=true) for header/image + N standalone cards.content-card per Q&A pair (title=question, content=answer). content-card is allowed directly in page dynamic zone."
